es-ES;en-US;gl-ES
Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de sistemas/enxeñería informática/Grao en enxeñería informática
Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática;Enxeñería técnica en informática de xestión/enxeñería informática/Grao en enxeñería informática
Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía;Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía;Enxeñería técnica en topografía/Grao en enxeñería en xeomática e topografía
Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes;Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes;Enxeñería técnica forestal/Grao en enxeñería forestal e do medio natural/Grao en enxeñería forestal/enxeñería de montes
Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica;Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica;Enxeñería técnica industrial en electricidade/Grao en enxeñería eléctrica
Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica;Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica;Enxeñería técnica industrial en mecánica/enxeñería industrial, orientación en mecánica/Grao en enxeñería mecánica
Enxeñería técnica industrial en química industrial/industrial/Grao en enxeñería de procesos químicos industriais;Enxeñería técnica industrial en química industrial/industrial/Grao en enxeñería de procesos químicos industriais;Enxeñería técnica industrial en química industrial/industrial/Grao en enxeñería de procesos químicos industriais
Arquitectura/ Grao en arquitectura;Arquitectura/ Grao en arquitectura;Arquitectura/ Grao en arquitectura
Licenciatura en ciencia e tecnoloxía dos alimentos/ Grao en ciencia e tecnoloxía dos alimentos/Grao en nutrición humana e dietética;Licenciatura en ciencia e tecnoloxía dos alimentos/ Grao en ciencia e tecnoloxía dos alimentos/Grao en nutrición humana e dietética;Licenciatura en ciencia e tecnoloxía dos alimentos/ Grao en ciencia e tecnoloxía dos alimentos/Grao en nutrición humana e dietética
Licenciatura en dereito/ Grao en dereito/;Licenciatura en dereito/ Grao en dereito/;Licenciatura en dereito/ Grao en dereito/
Licenciatura en filoloxía galega/Grao en lingua e literatura galegas;Licenciatura en filoloxía galega/Grao en lingua e literatura galegas;Licenciatura en filoloxía galega/Grao en lingua e literatura galegas
Licenciatura en filoloxía hispánica/Grao en lingua e literatura españolas;Licenciatura en filoloxía hispánica/Grao en lingua e literatura españolas;Licenciatura en filoloxía hispánica/Grao en lingua e literatura españolas
Licenciatura en filoloxía inglesa/Grao en lingua e literatura inglesas;Licenciatura en filoloxía inglesa/Grao en lingua e literatura inglesas;Licenciatura en filoloxía inglesa/Grao en lingua e literatura inglesas
Licenciatura en historia e ciencias da música/ Grao en historia e ciencias da música;Licenciatura en historia e ciencias da música/ Grao en historia e ciencias da música;Licenciatura en historia e ciencias da música/ Grao en historia e ciencias da música
Licenciatura en humanidades/ Grao en ciencias da cultura e difusión cultural;Licenciatura en humanidades/ Grao en ciencias da cultura e difusión cultural;Licenciatura en humanidades/ Grao en ciencias da cultura e difusión cultural
Licenciatura en psicopedagoxía;Licenciatura en psicopedagoxía;Licenciatura en psicopedagoxía
Licenciatura/ Grao en odontoloxía;Licenciatura/ Grao en odontoloxía;Licenciatura/ Grao en odontoloxía
Licenciatura/ Grao en veterinaria;Licenciatura/ Grao en veterinaria;Licenciatura/ Grao en veterinaria
Licenciatura/Grao en administración e dirección de empresas;Licenciatura/Grao en administración e dirección de empresas;Licenciatura/Grao en administración e dirección de empresas
Licenciatura/Grao en belas artes;Licenciatura/Grao en belas artes;Licenciatura/Grao en belas artes
Licenciatura/Grao en bioloxía;Licenciatura/Grao en bioloxía;Licenciatura/Grao en bioloxía
Licenciatura/Grao en ciencias ambientais;Licenciatura/Grao en ciencias ambientais;Licenciatura/Grao en ciencias ambientais
Licenciatura/Grao en ciencias da actividade física e do deporte;Licenciatura/Grao en ciencias da actividade física e do deporte;Licenciatura/Grao en ciencias da actividade física e do deporte
Licenciatura/Grao en ciencias do mar;Licenciatura/Grao en ciencias do mar;Licenciatura/Grao en ciencias do mar
